,keyword,lang,conf
0,Aber ich weiß nicht was ich machen kann,de,1.0
1,aktuell mit diesen fuenf tipps wird der campingurlaub nicht zum alptraum,de,1.0
2,anfaenger der richtige laufschuh tipps zum laufschuhkauf,de,1.0
3,Apple ID wird von fremden Gerät benutzt,de,1.0
4,archiv forum th abflussrohr verstopft darf der vermieter uns das in rechung stellen,de,0.9999999999442835
5,archiv forum th auto privat verkaufen wie stelle ich sicher dass ich kein falschgeld bekomme,de,1.0
6,archiv forum th wissenschaftl ma an der uni wer kennt sich aus,de,0.999999985864054
7,ausfall der elektronik beim Auto während der Fahrt sub,de,0.9999999999950344
8,ausgefüllte zellen können nicht über das blatt hinaus verschoben,de,1.0
9,baby babyentwicklung verhüten der stillzeit,de,0.9999999999978417
10,baby zähne wann,de,0.9930419099385284
11,Babydecke häkeln Diamant,fi,0.5130337621966717
12,baden an den küsten der normandie,de,0.9999999991142476
13,balancetraining aus sicht der sportwissenschaften,de,0.9999999997950377
14,"bargstedt schleswig holstein anhaenger achs anhaenger zu verkaufen recordid,ecf expose",de,0.9999999999997922
15,bekomme ich witwenrente bei gütertrennung,de,0.9999999917686314
16,benzinpreis in der nähe,de,0.9999999999996254
17,"berlin er sucht ihn biete jungen burschen bis jahre nicht nur unterhaltung absindex, categoryid, page, rview,list recordid,fa expose",de,1.0
18,Blasen an den Füßen,de,0.9999999762434547
19,blätterteig pralinen mit lachscreme,de,0.9996324172816058
20,"bochum fetisch erotik goettin sucht absindex, categoryid, keywords,füße rview,list radius, recordid,adf sorting, date expose",de,0.999999999999321
21,bosch werksverkauf,de,0.9999972667851351
22,chefkoch milchreis mit Erdbeersoße,de,0.9999999999999811
23,"content sport fussball specials ,,die besten sprüche von zlatan ibrahimovic ""ich bin der größte hinter ali"",content",de,1.0
24,"content unterhaltung musik musik news ,,der rapper über seine neue platte und das kickboxen kontra k: ""der knast war für mich keine option"",content",de,1.0
25,das geschäft mit den flüchtlingen,de,1.0
26,das hält ein jahr,de,0.9999999919582415
27,das ist nicht nötig,de,0.9999999999999836
28,das vermächtnis der wanderhure,de,0.9999997803208983
29,Das Vermächtnis des geheimen Buches,de,0.9999999986291603
30,de haustierliste,de,0.7848357334522266
31,delonghi gasheizgerät,de,0.8598341912696646
32,Der Aufbau der geschichtlichen Welt in den Geisteswissenschaften,de,1.0
33,details behaviorismus eine naturwissenschaftliche definition der psychologie,de,1.0
34,details mit diesem trick die verwaltungskosten auf den mieter umlegen,de,1.0
35,Die anderen aus der mannschaft größeren penia,de,0.9999999999999987
36,die beliebtesten haustiere im familiencheck,de,0.9999999952834049
37,die glücklichen jahre der torvalds 1962,de,1.0
38,Die Körperlotion mit weißen Lotus und Reismilch spendet der Haut täglich Feuchtigkeit und hinterlässt einen leichten samtigen Duft.,de,1.0
39,Diesbezüglich können wir uns später verständigen,de,1.0
40,du bist groß du bist groß,de,0.9999804595620893
41,duesseldorfer tabelle ab leitlinie fuer den kindesunterhalt,de,0.9999999997719904
42,düngen mit düngestäbchen,de,0.999999999997834
43,Durch einen Mausklick in eine Zelle der Spaltenüberschrift können Sie die Liste jederzeit nach der angeklickten Spalte sortieren.,de,1.0
44,Ebola - Anschlag auf den Präsidenten,de,0.9999999999999956
45,einbruchschutz im urlaub polizei warnt vor neuer masche id index,de,1.0
46,einkünfte aus privaten veräußerungsgeschäften,de,1.0
47,eintopf rezepte eintopf mit gefluegel,de,0.9999999991142638
48,entsäuerung des körpers,de,0.9999999652244188
49,"esel zwergesel zu verkaufen absindex, categoryid, rview,list radius, recordid,d expose",de,0.999999990571763
50,excel datum automatisch ausfüllen,de,0.99999999995161
51,faltenbrot mit kräuterbutter,de,0.9999820291069128
52,familie und urlaub familienleben kinderliebe hunderassen,de,0.9999999998963867
53,farbgetaltung großer Räume mit treppe,de,0.999999999877117
54,federweißer saison OS,de,0.9999990053674229
55,flugportal rund um den flug flug mit haustieren,de,0.9999999999981792
56,frage alg nur wie zahle ich die wohnungsmiete und das geld reicht mir nicht aus hilfe,de,1.0
57,frage als haustier wuensch ich mir ein stein,de,0.9999999999999982
58,frage betriebsstrom berechnen fuer den mieter,de,0.9999714371735401
59,frage darf ein vermieter das wohnungsschloss bei fristloser kuendigung auswechseln,de,1.0
60,frage denkt ihr dass ein ernaehrungswissenschaften studium anspruchsvoll ist,de,1.0
61,frage fallout suche den wissenschaftler der das gesicht veraendern kann wo ist er,de,1.0
62,frage gibt es eine altersbegrenzung ab wann ein vater sein kind alleine sehen darf,de,1.0
63,frage haustierfotos mit handgeschriebenen zetteln vor ihnen,de,1.0
64,frage ist ein rechtswissenschaften studium das gleiche wie ein jurastudium,de,1.0
65,frage kulturwissenschaften studium fragen,de,0.9999647468494784
66,frage muss ich beim autoverkauf dem neuen besitzer sagen dass die hinteren bremsen erneuert werden muessen,de,1.0
67,frage muss ich den neger in kinderbuechern umschreiben,de,0.9999999994952049
68,frage was ist der warenwert mit oder ohne steuer schulfach bwr,de,0.9999999999993272
69,frage welches haustier nehmen ich kann mich einfach nicht entscheiden,de,1.0
70,frage whatsapp sim freischaltung nach stunden noch immer keine nachricht und kein netz hilfe,de,1.0
71,frage wie kan ich meinen vater davon ueberzeugen das ich ein haustier moechte,de,1.0
